Capture: /home/fc9190n/FP-check-capture.core
Analysed: Sun Aug  9 04:48:18 PM BST 2026

===== windows.pslist =====
Volatility 3 Framework 2.28.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xa80fe1e7d040	122	-	N/A	False	2026-08-07 14:19:18.000000 UTC	N/A	Disabled
100	4	Registry	0xa80fe1fe7040	4	-	N/A	False	2026-08-07 14:19:14.000000 UTC	N/A	Disabled
348	4	smss.exe	0xa80fe2532040	2	-	N/A	False	2026-08-07 14:19:18.000000 UTC	N/A	Disabled
468	456	csrss.exe	0xa80fe2c29080	9	-	0	False	2026-08-07 14:20:10.000000 UTC	N/A	Disabled
536	528	csrss.exe	0xa80fe3847080	10	-	1	False	2026-08-07 14:20:11.000000 UTC	N/A	Disabled
548	456	wininit.exe	0xa80fe3852080	1	-	0	False	2026-08-07 14:20:11.000000 UTC	N/A	Disabled
600	528	winlogon.exe	0xa80fe3874080	5	-	1	False	2026-08-07 14:20:12.000000 UTC	N/A	Disabled
668	548	services.exe	0xa80fe3892080	9	-	0	False	2026-08-07 14:20:12.000000 UTC	N/A	Disabled
688	548	lsass.exe	0xa80fe3897080	6	-	0	False	2026-08-07 14:20:13.000000 UTC	N/A	Disabled
796	668	svchost.exe	0xa80fe3910240	10	-	0	False	2026-08-07 14:20:15.000000 UTC	N/A	Disabled
816	600	fontdrvhost.ex	0xa80fe392f0c0	5	-	1	False	2026-08-07 14:20:15.000000 UTC	N/A	Disabled
824	548	fontdrvhost.ex	0xa80fe3931140	5	-	0	False	2026-08-07 14:20:15.000000 UTC	N/A	Disabled
912	668	svchost.exe	0xa80fe395d2c0	10	-	0	False	2026-08-07 14:20:15.000000 UTC	N/A	Disabled
968	668	svchost.exe	0xa80fe39d5240	4	-	0	False	2026-08-07 14:20:16.000000 UTC	N/A	Disabled
380	600	dwm.exe	0xa80fe6209080	19	-	1	False	2026-08-07 14:20:16.000000 UTC	N/A	Disabled
532	668	svchost.exe	0xa80fe6246240	5	-	0	False	2026-08-07 14:20:17.000000 UTC	N/A	Disabled
748	668	svchost.exe	0xa80fe6248280	2	-	0	False	2026-08-07 14:20:17.000000 UTC	N/A	Disabled
