Capture: /home/fc9190n/T1620-4-exclusion-free.core
Analysed: Mon Aug 24 02:30:12 PM BST 2026

===== windows.pslist =====
Volatility 3 Framework 2.28.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xe1044087d040	120	-	N/A	False	2026-08-16 08:43:08.000000 UTC	N/A	Disabled
92	4	Registry	0xe104409e6040	4	-	N/A	False	2026-08-16 08:42:53.000000 UTC	N/A	Disabled
344	4	smss.exe	0xe10442174380	2	-	N/A	False	2026-08-16 08:43:08.000000 UTC	N/A	Disabled
440	432	csrss.exe	0xe10443a27080	10	-	0	False	2026-08-16 08:43:16.000000 UTC	N/A	Disabled
508	432	wininit.exe	0xe10443b60140	1	-	0	False	2026-08-16 08:43:17.000000 UTC	N/A	Disabled
516	500	csrss.exe	0xe10443b63080	11	-	1	False	2026-08-16 08:43:17.000000 UTC	N/A	Disabled
572	500	winlogon.exe	0xe10443b8a080	5	-	1	False	2026-08-16 08:43:17.000000 UTC	N/A	Disabled
640	508	services.exe	0xe10443a4b240	5	-	0	False	2026-08-16 08:43:17.000000 UTC	N/A	Disabled
660	508	lsass.exe	0xe10443b57080	6	-	0	False	2026-08-16 08:43:18.000000 UTC	N/A	Disabled
768	640	svchost.exe	0xe10444857240	10	-	0	False	2026-08-16 08:43:19.000000 UTC	N/A	Disabled
796	572	fontdrvhost.ex	0xe10444871140	5	-	1	False	2026-08-16 08:43:19.000000 UTC	N/A	Disabled
804	508	fontdrvhost.ex	0xe10444873140	5	-	0	False	2026-08-16 08:43:19.000000 UTC	N/A	Disabled
876	640	svchost.exe	0xe1044489d2c0	10	-	0	False	2026-08-16 08:43:20.000000 UTC	N/A	Disabled
936	640	svchost.exe	0xe10444904240	3	-	0	False	2026-08-16 08:43:20.000000 UTC	N/A	Disabled
992	572	dwm.exe	0xe10444919080	17	-	1	False	2026-08-16 08:43:20.000000 UTC	N/A	Disabled
504	640	svchost.exe	0xe10444991280	1	-	0	False	2026-08-16 08:43:21.000000 UTC	N/A	Disabled
728	640	svchost.exe	0xe10444998300	3	-	0	False	2026-08-16 08:43:21.000000 UTC	N/A	Disabled
792	640	svchost.exe	0xe1044499a300	1	-	0	False	2026-08-16 08:43:21.000000 UTC	N/A	Disabled
1036	640	svchost.exe	0xe10444a04240	4	-	0	False	2026-08-16 08:43:21.000000 UTC	N/A	Disabled
1072	640	svchost.exe	0xe10444a0c2c0	2	-	0	False	2026-08-16 08:43:21.000000 UTC	N/A	Disabled
1160	640	svchost.exe	0xe10444a29300	8	-	0	False	2026-08-16 08:43:22.000000 UTC	N/A	Disabled
1252	640	VBoxService.ex	0xe10444ad4240	14	-	0	False	2026-08-16 08:43:22.000000 UTC	N/A	Disabled
1292	640	svchost.exe	0xe10444b15300	1	-	0	False	2026-08-16 08:43:23.000000 UTC	N/A	Disabled
1304	640	svchost.exe	0xe10444b13380	4	-	0	False	2026-08-16 08:43:23.000000 UTC	N/A	Disabled
1332	640	svchost.exe	0xe10444b182c0	1	-	0	False	2026-08-16 08:43:23.000000 UTC	N/A	Disabled
1364	640	svchost.exe	0xe10444b20240	3	-	0	False	2026-08-16 08:43:23.000000 UTC	N/A	Disabled
1388	640	svchost.exe	0xe10444b21080	2	-	0	False	2026-08-16 08:43:23.000000 UTC	N/A	Disabled
1404	640	svchost.exe	0xe10444b592c0	4	-	0	False	2026-08-16 08:43:23.000000 UTC	N/A	Disabled
1428	640	svchost.exe	0xe10444b5b300	6	-	0	False	2026-08-16 08:43:23.000000 UTC	N/A	Disabled
1456	640	svchost.exe	0xe10444b60240	2	-	0	False	2026-08-16 08:43:23.000000 UTC	N/A	Disabled
1652	640	svchost.exe	0xe10444be1240	2	-	0	False	2026-08-16 08:43:24.000000 UTC	N/A	Disabled
