Capture: /home/fc9190n/T1055-12-capture-20260828-115803.core
Capture size: 4.2G
Analysed: Mon Aug 31 06:01:55 PM BST 2026
Plugin: windows.reflective_load.ReflectiveLoad v1.4.0
Framework: Volatility 3 Framework 2.28.2

===== windows.info =====
Volatility 3 Framework 2.28.2

Variable	Value

Kernel Base	0xf80469600000
DTB	0x1aa000
Symbols	file:///home/fc9190n/Desktop/tools/volatility3/volatility3/symbols/windows/ntkrnlmp.pdb/D801A9AFC0FB7761380800F708633DEA-1.json.xz
Is64Bit	True
IsPAE	False
layer_name	0 WindowsIntel32e
memory_layer	1 Elf64Layer
base_layer	2 FileLayer
KdVersionBlock	0xf8046a215508
Major/Minor	15.20348
MachineType	34404
KeNumberProcessors	2
SystemTime	2026-08-28 10:57:58+00:00
NtSystemRoot	C:\Windows
NtProductType	NtProductServer
NtMajorVersion	10
NtMinorVersion	0
PE MajorOperatingSystemVersion	10
PE MinorOperatingSystemVersion	0
PE Machine	34404
PE TimeDateStamp	Mon Oct  4 10:47:04 1971

===== windows.pslist =====
Volatility 3 Framework 2.28.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0x8288be0bb040	127	-	N/A	False	2026-08-28 10:52:01.000000 UTC	N/A	Disabled
100	4	Registry	0x8288be1c9040	4	-	N/A	False	2026-08-28 10:51:13.000000 UTC	N/A	Disabled
352	4	smss.exe	0x8288be76d080	2	-	N/A	False	2026-08-28 10:52:01.000000 UTC	N/A	Disabled
448	440	csrss.exe	0x8288be719080	10	-	0	False	2026-08-28 10:52:09.000000 UTC	N/A	Disabled
520	512	csrss.exe	0x8288bef61140	10	-	1	False	2026-08-28 10:52:11.000000 UTC	N/A	Disabled
528	440	wininit.exe	0x8288bef64080	2	-	0	False	2026-08-28 10:52:11.000000 UTC	N/A	Disabled
584	512	winlogon.exe	0x8288bef95080	4	-	1	False	2026-08-28 10:52:11.000000 UTC	N/A	Disabled
656	528	services.exe	0x8288bef63080	6	-	0	False	2026-08-28 10:52:11.000000 UTC	N/A	Disabled
676	528	lsass.exe	0x8288bee0f080	5	-	0	False	2026-08-28 10:52:12.000000 UTC	N/A	Disabled
784	656	svchost.exe	0x8288bf00a300	11	-	0	False	2026-08-28 10:52:13.000000 UTC	N/A	Disabled
808	528	fontdrvhost.ex	0x8288bf011140	5	-	0	False	2026-08-28 10:52:13.000000 UTC	N/A	Disabled
816	584	fontdrvhost.ex	0x8288bf052140	5	-	1	False	2026-08-28 10:52:13.000000 UTC	N/A	Disabled
892	656	svchost.exe	0x8288bf0872c0	6	-	0	False	2026-08-28 10:52:14.000000 UTC	N/A	Disabled
956	656	svchost.exe	0x8288bf0db240	4	-	0	False	2026-08-28 10:52:14.000000 UTC	N/A	Disabled
76	584	dwm.exe	0x8288bf126080	18	-	1	False	2026-08-28 10:52:15.000000 UTC	N/A	Disabled
452	656	svchost.exe	0x8288bf1a7300	3	-	0	False	2026-08-28 10:52:15.000000 UTC	N/A	Disabled
516	656	svchost.exe	0x8288bf1a8080	3	-	0	False	2026-08-28 10:52:15.000000 UTC	N/A	Disabled
736	656	svchost.exe	0x8288bf1af300	4	-	0	False	2026-08-28 10:52:16.000000 UTC	N/A	Disabled
628	656	svchost.exe	0x8288bf1b0080	6	-	0	False	2026-08-28 10:52:16.000000 UTC	N/A	Disabled
1112	656	svchost.exe	0x8288c2210300	8	-	0	False	2026-08-28 10:52:17.000000 UTC	N/A	Disabled
