Capture: /home/fc9190n/capture-memory/FP-win10-20260903-125305.core
Capture size: 4.2G
Analysed: Thu Sep  3 05:11:34 PM BST 2026
Plugin: windows.reflective_load.ReflectiveLoad v1.4.0
Framework: Volatility 3 Framework 2.28.2

===== windows.info =====
Volatility 3 Framework 2.28.2

Variable	Value

Kernel Base	0xf80026800000
DTB	0x1aa000
Symbols	file:///home/fc9190n/Desktop/tools/volatility3/volatility3/symbols/windows/ntkrnlmp.pdb/D801A9AFC0FB7761380800F708633DEA-1.json.xz
Is64Bit	True
IsPAE	False
layer_name	0 WindowsIntel32e
memory_layer	1 Elf64Layer
base_layer	2 FileLayer
KdVersionBlock	0xf80027415508
Major/Minor	15.20348
MachineType	34404
KeNumberProcessors	2
SystemTime	2026-09-03 11:52:59+00:00
NtSystemRoot	C:\Windows
NtProductType	NtProductServer
NtMajorVersion	10
NtMinorVersion	0
PE MajorOperatingSystemVersion	10
PE MinorOperatingSystemVersion	0
PE Machine	34404
PE TimeDateStamp	Mon Oct  4 10:47:04 1971

===== windows.pslist =====
Volatility 3 Framework 2.28.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xda0fe2c90080	122	-	N/A	False	2026-09-03 11:32:44.000000 UTC	N/A	Disabled
100	4	Registry	0xda0fe2dea040	4	-	N/A	False	2026-09-03 11:32:40.000000 UTC	N/A	Disabled
344	4	smss.exe	0xda0fe3374040	2	-	N/A	False	2026-09-03 11:32:44.000000 UTC	N/A	Disabled
448	440	csrss.exe	0xda0fe3a35080	10	-	0	False	2026-09-03 11:32:50.000000 UTC	N/A	Disabled
516	508	csrss.exe	0xda0fe3baa140	11	-	1	False	2026-09-03 11:32:51.000000 UTC	N/A	Disabled
524	440	wininit.exe	0xda0fe3377080	1	-	0	False	2026-09-03 11:32:51.000000 UTC	N/A	Disabled
596	508	winlogon.exe	0xda0fe3c03080	4	-	1	False	2026-09-03 11:32:51.000000 UTC	N/A	Disabled
648	524	services.exe	0xda0fe3376280	8	-	0	False	2026-09-03 11:32:52.000000 UTC	N/A	Disabled
664	524	lsass.exe	0xda0fe3c1c080	6	-	0	False	2026-09-03 11:32:52.000000 UTC	N/A	Disabled
776	648	svchost.exe	0xda0fe3c95240	10	-	0	False	2026-09-03 11:32:54.000000 UTC	N/A	Disabled
